,min,max,mean,isnull
age,18.0,55.0,26.358927924664975,0.0113392217713058
age_o,18.0,55.0,26.36499879139473,0.012413463833850561
race,1.0,6.0,2.7571858087793144,0.007519694437813321
race_o,1.0,6.0,2.7566526189042744,0.00871329672952972
date,1.0,7.0,5.00676246830093,0.011577942229649082
go_out,1.0,7.0,2.158091336305579,0.00942945810455956
exphappy,1.0,10.0,5.534130723692159,0.012055383146335641
attr1_1,0.0,100.0,22.514631883359332,0.00942945810455956
attr,0.0,10.0,6.189995107632094,0.024110766292671282
pf_o_att,0.0,100.0,22.49534684521648,0.01062306039627596
attr_o,0.0,10.5,6.190411462160177,0.02530436858438768
sinc1_1,0.0,60.0,17.39638872153271,0.00942945810455956
sinc,0.0,10.0,7.175163560054314,0.03306278348054428
pf_o_sin,0.0,60.0,17.396866932078645,0.01062306039627596
sinc_o,0.0,10.0,7.175256457792609,0.03425638577226068
intel1_1,0.0,50.0,20.26561272442462,0.00942945810455956
intel,0.0,10.0,7.368596881959911,0.03533062783480544
pf_o_int,0.0,50.0,20.270758837012853,0.01062306039627596
intel_o,0.0,10.0,7.369301288404361,0.036524230126521846
fun1_1,0.0,50.0,17.4570430691278,0.01062306039627596
fun,0.0,10.0,6.400597907324364,0.041776080210074
pf_o_fun,0.0,50.0,17.45971376811598,0.01169730245882072
fun_o,0.0,11.0,6.400598653030681,0.0429696825017904
amb1_1,0.0,53.0,10.682538953979968,0.011816662687992361
amb,0.0,10.0,6.777524132533264,0.08498448317020768
pf_o_amb,0.0,53.0,10.685375408052264,0.012771544521365481
amb_o,0.0,10.0,6.778409090909091,0.08617808546192408
shar1_1,0.0,30.0,11.845110815065958,0.014442587729768442
shar,0.0,10.0,5.474558883873615,0.12735736452613988
pf_o_sha,0.0,30.0,11.845930415807954,0.015397469563141562
shar_o,0.0,10.0,5.474869898657902,0.12843160658868466
